Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
D2 Extra Large,d2.xlarge,30,4,6144 GB (3×2048 GB HDD),51.96050223214286,0.69
R5B Quadruple Extra Large,r5b.4xlarge,128,16,EBS only,10.0,1.192
C6I 12xlarge,c6i.12xlarge,96,48,EBS only,18.75,2.04
C6A 48xlarge,c6a.48xlarge,384,192,EBS only,50.0,7.344
R6IN 16xlarge,r6in.16xlarge,512,64,EBS only,100.0,5.5786
R5DN Extra Large,r5dn.xlarge,32,4,150 GB NVMe SSD,25.0,0.334
M8G Medium,m8g.medium,4,1,EBS only,12.5,0.0449
R7I Large,r7i.large,16,2,EBS only,12.5,0.1323
M5DN Extra Large,m5dn.xlarge,16,4,150 GB NVMe SSD,25.0,0.272
R5DN 16xlarge,r5dn.16xlarge,512,64,2400 GB (4×600 GB NVMe SSD),75.0,5.344
I3EN Extra Large,i3en.xlarge,32,4,2500 GB NVMe SSD,25.0,0.452
C6A Quadruple Extra Large,c6a.4xlarge,32,16,EBS only,12.5,0.612
C7GD Quadruple Extra Large,c7gd.4xlarge,32,16,950 GB NVMe SSD,15.0,0.7258
C8GD Medium,c8gd.medium,2,1,59 GB NVMe SSD,12.5,0.049
C7A 12xlarge,c7a.12xlarge,96,48,EBS only,18.75,2.4634
M7I Quadruple Extra Large,m7i.4xlarge,64,16,EBS only,12.5,0.8064
C6G Extra Large,c6g.xlarge,8,4,EBS only,10.0,0.136
R6ID Extra Large,r6id.xlarge,32,4,237 GB NVMe SSD,12.5,0.3024
R5A 16xlarge,r5a.16xlarge,512,64,EBS only,12.0,3.616
R6I Extra Large,r6i.xlarge,32,4,EBS only,12.5,0.252
X2GD Metal,x2gd.metal,1024,64,3800 GB (2×1900 GB NVMe SSD),25.0,5.344
R8GD Quadruple Extra Large,r8gd.4xlarge,128,16,950 GB NVMe SSD,15.0,1.1757
R7IZ Quadruple Extra Large,r7iz.4xlarge,128,16,EBS only,12.5,1.488
M5N Double Extra Large,m5n.2xlarge,32,8,EBS only,25.0,0.476
R6G Extra Large,r6g.xlarge,32,4,EBS only,10.0,0.2016
C5AD Quadruple Extra Large,c5ad.4xlarge,32,16,600 GB (2×300 GB NVMe SSD),10.0,0.688
M6IDN 24xlarge,m6idn.24xlarge,384,96,5700 GB (4×1425 GB NVMe SSD),150.0,7.6378
C5N Large,c5n.large,5,2,EBS only,25.0,0.108
I3 High I/O Double Extra Large,i3.2xlarge,61,8,1900 GB NVMe SSD,10.0,0.624
C6A Metal,c6a.metal,384,192,EBS only,50.0,7.344
I3EN 3xlarge,i3en.3xlarge,96,12,7500 GB NVMe SSD,25.0,1.356
M6ID Quadruple Extra Large,m6id.4xlarge,64,16,950 GB NVMe SSD,12.5,0.9492
G3 Graphics GPU Eight Extra Large,g3.8xlarge,244,32,EBS only,10.0,2.28
