Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
C7GD 16xlarge,c7gd.16xlarge,128,64,3800 GB (2×1900 GB NVMe SSD),30.0,2.903
R6G Large,r6g.large,16,2,EBS only,10.0,0.1008
R8GD Large,r8gd.large,16,2,118 GB NVMe SSD,12.5,0.147
A1 Quadruple Extra Large,a1.4xlarge,32,16,EBS only,10.0,0.408
R7IZ Metal-16xl,r7iz.metal-16xl,512,64,EBS only,25.0,5.952
IM4GN 16xlarge,im4gn.16xlarge,256,64,30000 GB (4×7500 GB NVMe SSD),100.0,5.8207
R6IN Eight Extra Large,r6in.8xlarge,256,32,EBS only,50.0,2.7893
G6e Graphics and Machine Learning GPU 24xlarge,g6e.24xlarge,768,96,3800 GB (2×1900 GB NVMe SSD),200.0,15.0656
C6A 12xlarge,c6a.12xlarge,96,48,EBS only,18.75,1.836
R7I Double Extra Large,r7i.2xlarge,64,8,EBS only,12.5,0.5292
M6A 16xlarge,m6a.16xlarge,256,64,EBS only,25.0,2.7648
R6A Eight Extra Large,r6a.8xlarge,256,32,EBS only,12.5,1.8144
I7I Metal-48xl,i7i.metal-48xl,1536,192,45000 GB (12×3750 GB NVMe SSD),100.0,18.121
R8GD Medium,r8gd.medium,8,1,59 GB NVMe SSD,12.5,0.0735
R6I Eight Extra Large,r6i.8xlarge,256,32,EBS only,12.5,2.016
C7I Metal-48xl,c7i.metal-48xl,384,192,EBS only,50.0,8.568
G4DN 16xlarge,g4dn.16xlarge,256,64,900 GB NVMe SSD,50.0,4.352
X2GD Double Extra Large,x2gd.2xlarge,128,8,475 GB NVMe SSD,10.0,0.668
C8G Quadruple Extra Large,c8g.4xlarge,32,16,EBS only,15.0,0.6381
I7IE 18xlarge,i7ie.18xlarge,576,72,45000 GB (6×7500 GB NVMe SSD),75.0,9.3564
R7A Large,r7a.large,16,2,EBS only,12.5,0.1522
M5 General Purpose Extra Large,m5d.xlarge,16,4,150 GB NVMe SSD,10.0,0.226
C8G Double Extra Large,c8g.2xlarge,16,8,EBS only,15.0,0.319
T4G Nano,t4g.nano,0,2,EBS only,5.0,0.0042
C7GN Metal,c7gn.metal,128,64,EBS only,200.0,3.9936
M5N Eight Extra Large,m5n.8xlarge,128,32,EBS only,25.0,1.904
R6I 16xlarge,r6i.16xlarge,512,64,EBS only,25.0,4.032
M8G 24xlarge,m8g.24xlarge,384,96,EBS only,40.0,4.3085
R3 High-Memory Extra Large,r3.xlarge,30,4,80 GB SSD,51.96050223214286,0.333
X1 Extra High-Memory 16xlarge,x1.16xlarge,976,64,1920 GB SSD,10.0,6.669
C7GN Double Extra Large,c7gn.2xlarge,16,8,EBS only,50.0,0.4992
HPC7A 24xlarge,hpc7a.24xlarge,768,48,EBS only,300.0,
C6A 24xlarge,c6a.24xlarge,192,96,EBS only,37.5,3.672
C5A Large,c5a.large,4,2,EBS only,10.0,0.077
C6G 12xlarge,c6g.12xlarge,96,48,EBS only,20.0,1.632
P3 High Performance GPU 16xlarge,p3.16xlarge,488,64,EBS only,25.0,24.48
R5B 24xlarge,r5b.24xlarge,768,96,EBS only,25.0,7.152
R8GD Metal-24xl,r8gd.metal-24xl,768,96,5700 GB (3×1900 GB NVMe SSD),40.0,7.0541
C7A Double Extra Large,c7a.2xlarge,16,8,EBS only,12.5,0.4106
M8G Large,m8g.large,8,2,EBS only,12.5,0.0898
M6A 12xlarge,m6a.12xlarge,192,48,EBS only,18.75,2.0736
C7GN Medium,c7gn.medium,2,1,EBS only,25.0,0.0624
R7GD Quadruple Extra Large,r7gd.4xlarge,128,16,950 GB NVMe SSD,15.0,1.0886
M6IN Quadruple Extra Large,m6in.4xlarge,64,16,EBS only,50.0,1.1138
M6A Quadruple Extra Large,m6a.4xlarge,64,16,EBS only,12.5,0.6912
R6I Quadruple Extra Large,r6i.4xlarge,128,16,EBS only,12.5,1.008
R5 12xlarge,r5.12xlarge,384,48,EBS only,12.0,3.024
R5D Double Extra Large,r5d.2xlarge,64,8,300 GB NVMe SSD,10.0,0.576
INF1 24xlarge,inf1.24xlarge,192,96,EBS only,100.0,4.721
R7A 32xlarge,r7a.32xlarge,1024,128,EBS only,50.0,9.7376
C7A 16xlarge,c7a.16xlarge,128,64,EBS only,25.0,3.2845
C8GD Metal-48xl,c8gd.metal-48xl,384,192,11400 GB (6×1900 GB NVMe SSD),50.0,9.4061
C6GD Large,c6gd.large,4,2,118 GB NVMe SSD,10.0,0.0768
C5 High-CPU 24xlarge,c5.24xlarge,192,96,EBS only,25.0,4.08
M5ZN Extra Large,m5zn.xlarge,16,4,EBS only,25.0,0.3303
C7GN 16xlarge,c7gn.16xlarge,128,64,EBS only,200.0,3.9936
C5A 16xlarge,c5a.16xlarge,128,64,EBS only,20.0,2.464
M7I 12xlarge,m7i.12xlarge,192,48,EBS only,18.75,2.4192
H1 Eight Extra Large,h1.8xlarge,128,32,8000 GB (4×2000 GB HDD),10.0,1.872
P2 General Purpose GPU Extra Large,p2.xlarge,61,4,EBS only,51.96050223214286,0.9
C7G Medium,c7g.medium,2,1,EBS only,12.5,0.0363
U-12TB1 112xlarge,u-12tb1.112xlarge,12288,448,EBS only,100.0,109.2
R8GD Extra Large,r8gd.xlarge,32,4,237 GB NVMe SSD,12.5,0.2939
R5 Extra Large,r5.xlarge,32,4,EBS only,10.0,0.252
G4DN Metal,g4dn.metal,384,96,1800 GB (2×900 GB NVMe SSD),100.0,7.824
C7GN 12xlarge,c7gn.12xlarge,96,48,EBS only,150.0,2.9952
M8G Double Extra Large,m8g.2xlarge,32,8,EBS only,15.0,0.359
P5e High Performance Computing GPU 48xlarge,p5e.48xlarge,2048,192,EBS only,3200.0,
C7I Large,c7i.large,4,2,EBS only,12.5,0.0892
R7GD Extra Large,r7gd.xlarge,32,4,237 GB NVMe SSD,12.5,0.2722
R6I 32xlarge,r6i.32xlarge,1024,128,EBS only,50.0,8.064
M7G Medium,m7g.medium,4,1,EBS only,12.5,0.0408
T2 Extra Large,t2.xlarge,16,4,EBS only,51.96050223214286,0.1856
C4 High-CPU Large,c4.large,3,2,EBS only,51.96050223214286,0.1
P5en High Performance Computing GPU 48xlarge,p5en.48xlarge,2048,192,30400 GB (8×3800 GB NVMe SSD),3200.0,63.296
M7GD Extra Large,m7gd.xlarge,16,4,237 GB NVMe SSD,12.5,0.2136
C5N Quadruple Extra Large,c5n.4xlarge,42,16,EBS only,25.0,0.864
M6I Quadruple Extra Large,m6i.4xlarge,64,16,EBS only,12.5,0.768
R5A Double Extra Large,r5a.2xlarge,64,8,EBS only,10.0,0.452
R8G Double Extra Large,r8g.2xlarge,64,8,EBS only,15.0,0.4713
C8GD 24xlarge,c8gd.24xlarge,192,96,5700 GB (3×1900 GB NVMe SSD),40.0,4.703
M7I-FLEX 16xlarge,m7i-flex.16xlarge,256,64,EBS only,25.0,3.0643
R5N Quadruple Extra Large,r5n.4xlarge,128,16,EBS only,25.0,1.192
T2 Medium,t2.medium,4,2,EBS only,51.96050223214286,0.0464
R6IN Extra Large,r6in.xlarge,32,4,EBS only,30.0,0.3487
M5AD Quadruple Extra Large,m5ad.4xlarge,64,16,600 GB (2×300 GB NVMe SSD),10.0,0.824
M7A Medium,m7a.medium,4,1,EBS only,12.5,0.058
C6GD 16xlarge,c6gd.16xlarge,128,64,3800 GB (2×1900 GB NVMe SSD),25.0,2.4576
R7GD Medium,r7gd.medium,8,1,59 GB NVMe SSD,12.5,0.068
R7I 12xlarge,r7i.12xlarge,384,48,EBS only,18.75,3.1752
M7I-FLEX Double Extra Large,m7i-flex.2xlarge,32,8,EBS only,12.5,0.383
M5AD 12xlarge,m5ad.12xlarge,192,48,1800 GB (2×900 GB NVMe SSD),10.0,2.472
R6GD Double Extra Large,r6gd.2xlarge,64,8,474 GB NVMe SSD,10.0,0.4608
M6A Metal,m6a.metal,768,192,EBS only,50.0,8.2944
T2 Large,t2.large,8,2,EBS only,51.96050223214286,0.0928
X2IDN 32xlarge,x2idn.32xlarge,2048,128,3800 GB (2×1900 GB NVMe SSD),100.0,13.338
C6GD Eight Extra Large,c6gd.8xlarge,64,32,1900 GB NVMe SSD,12.0,1.2288
C7A Extra Large,c7a.xlarge,8,4,EBS only,12.5,0.2053
I7I Extra Large,i7i.xlarge,32,4,937 GB NVMe SSD,10.0,0.3775
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,384,96,3800 GB NVMe SSD,50.0,8.144
M7G Extra Large,m7g.xlarge,16,4,EBS only,12.5,0.1632
C5A Quadruple Extra Large,c5a.4xlarge,32,16,EBS only,10.0,0.616
M7G Quadruple Extra Large,m7g.4xlarge,64,16,EBS only,15.0,0.6528
M6GD Double Extra Large,m6gd.2xlarge,32,8,474 GB NVMe SSD,10.0,0.3616
I3 High I/O Quadruple Extra Large,i3.4xlarge,122,16,3800 GB (2×1900 GB NVMe SSD),10.0,1.248
M6G Medium,m6g.medium,4,1,EBS only,10.0,0.0385
M6IDN Eight Extra Large,m6idn.8xlarge,128,32,1900 GB NVMe SSD,50.0,2.5459
R5DN Quadruple Extra Large,r5dn.4xlarge,128,16,600 GB (2×300 GB NVMe SSD),25.0,1.336
M7G 16xlarge,m7g.16xlarge,256,64,EBS only,30.0,2.6112
M5 General Purpose 16xlarge,m5.16xlarge,256,64,EBS only,20.0,3.072
R7G Medium,r7g.medium,8,1,EBS only,12.5,0.0536
C8G Medium,c8g.medium,2,1,EBS only,12.5,0.0399
R5D Extra Large,r5d.xlarge,32,4,150 GB NVMe SSD,10.0,0.288
R8G Metal-24xl,r8g.metal-24xl,768,96,EBS only,40.0,5.6554
R5A 12xlarge,r5a.12xlarge,384,48,EBS only,10.0,2.712
M7A 24xlarge,m7a.24xlarge,384,96,EBS only,37.5,5.5642
M4 General Purpose Large,m4.large,8,2,EBS only,51.96050223214286,0.1
R8GD Metal-48xl,r8gd.metal-48xl,1536,192,11400 GB (6×1900 GB NVMe SSD),50.0,14.1082
C8G 16xlarge,c8g.16xlarge,128,64,EBS only,30.0,2.5523
C8GD 16xlarge,c8gd.16xlarge,128,64,3800 GB (2×1900 GB NVMe SSD),30.0,3.1354
C8GD Eight Extra Large,c8gd.8xlarge,64,32,1900 GB NVMe SSD,15.0,1.5677
R7I 24xlarge,r7i.24xlarge,768,96,EBS only,37.5,6.3504
U-12TB1 Metal,u-12tb1.metal,12288,448,EBS only,100.0,
R4 High-Memory Large,r4.large,15,2,EBS only,10.0,0.133
I4I Large,i4i.large,16,2,468 GB NVMe SSD,10.0,0.172
X2GD Large,x2gd.large,32,2,118 GB NVMe SSD,10.0,0.167
M8GD 48xlarge,m8gd.48xlarge,768,192,11400 GB (6×1900 GB NVMe SSD),50.0,11.0707
C8GD Extra Large,c8gd.xlarge,8,4,237 GB NVMe SSD,12.5,0.196
R7G 16xlarge,r7g.16xlarge,512,64,EBS only,30.0,3.4272
R5B 16xlarge,r5b.16xlarge,512,64,EBS only,20.0,4.768
R5AD 12xlarge,r5ad.12xlarge,384,48,1800 GB (2×900 GB NVMe SSD),10.0,3.144
G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,384,96,3760 GB (4×940 GB NVMe SSD),50.0,6.6752
G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,128,32,900 GB (2×450 GB NVMe SSD),25.0,2.0144
C6GD Double Extra Large,c6gd.2xlarge,16,8,474 GB NVMe SSD,10.0,0.3072
C7G 12xlarge,c7g.12xlarge,96,48,EBS only,22.5,1.74
G4AD Double Extra Large,g4ad.2xlarge,32,8,300 GB NVMe SSD,10.0,0.5412
M7G Large,m7g.large,8,2,EBS only,12.5,0.0816
C6IN 32xlarge,c6in.32xlarge,256,128,EBS only,200.0,7.2576
T2 Small,t2.small,2,1,EBS only,51.96050223214286,0.023
R8G Large,r8g.large,16,2,EBS only,12.5,0.1178
C6G Eight Extra Large,c6g.8xlarge,64,32,EBS only,12.0,1.088
X2GD Eight Extra Large,x2gd.8xlarge,512,32,1900 GB NVMe SSD,12.0,2.672
C7I-FLEX Large,c7i-flex.large,4,2,EBS only,12.5,0.0848
R6IDN Double Extra Large,r6idn.2xlarge,64,8,474 GB NVMe SSD,40.0,0.7816
C6GD 12xlarge,c6gd.12xlarge,96,48,2850 GB (2×1425 GB NVMe SSD),20.0,1.8432
IM4GN Extra Large,im4gn.xlarge,16,4,1875 GB NVMe SSD,25.0,0.3638
G4AD 16xlarge,g4ad.16xlarge,256,64,2400 GB (2×1200 GB NVMe SSD),25.0,3.468
M5DN Large,m5dn.large,8,2,75 GB NVMe SSD,25.0,0.136
C7GN Eight Extra Large,c7gn.8xlarge,64,32,EBS only,100.0,1.9968
R6A Metal,r6a.metal,1536,192,EBS only,50.0,10.8864
A1 Double Extra Large,a1.2xlarge,16,8,EBS only,10.0,0.204
HPC6ID 32xlarge,hpc6id.32xlarge,1024,64,EBS only,200.0,
R5B Extra Large,r5b.xlarge,32,4,EBS only,10.0,0.298
M6G 12xlarge,m6g.12xlarge,192,48,EBS only,20.0,1.848
C7I-FLEX Quadruple Extra Large,c7i-flex.4xlarge,32,16,EBS only,12.5,0.6783
P3 High Performance GPU Eight Extra Large,p3.8xlarge,244,32,EBS only,10.0,12.24
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,122,16,EBS only,10.0,1.14
G4DN Quadruple Extra Large,g4dn.4xlarge,64,16,225 GB NVMe SSD,25.0,1.204
M8G Quadruple Extra Large,m8g.4xlarge,64,16,EBS only,15.0,0.7181
HPC7A 12xlarge,hpc7a.12xlarge,768,24,EBS only,300.0,
R7G 12xlarge,r7g.12xlarge,384,48,EBS only,22.5,2.5704
I3 High I/O Metal,i3.metal,512,72,15200 GB (8×1900 GB NVMe SSD),25.0,4.992
R6GD Extra Large,r6gd.xlarge,32,4,237 GB NVMe SSD,10.0,0.2304
R6IDN Extra Large,r6idn.xlarge,32,4,237 GB NVMe SSD,30.0,0.3908
M7GD 12xlarge,m7gd.12xlarge,192,48,2850 GB (2×1425 GB NVMe SSD),22.5,2.5628
C7I-FLEX 16xlarge,c7i-flex.16xlarge,128,64,EBS only,25.0,2.7132
C8GD Double Extra Large,c8gd.2xlarge,16,8,474 GB NVMe SSD,15.0,0.3919
C6GN Medium,c6gn.medium,2,1,EBS only,16.0,0.0432
T3 Micro,t3.micro,1,2,EBS only,5.0,0.0104
Z1D Metal,z1d.metal,384,48,1800 GB (2×900 GB NVMe SSD),25.0,4.464
X2GD 16xlarge,x2gd.16xlarge,1024,64,3800 GB (2×1900 GB NVMe SSD),25.0,5.344
C8G Eight Extra Large,c8g.8xlarge,64,32,EBS only,15.0,1.2762
R6GD 16xlarge,r6gd.16xlarge,512,64,3800 GB (2×1900 GB NVMe SSD),25.0,3.6864
M5N Quadruple Extra Large,m5n.4xlarge,64,16,EBS only,25.0,0.952
G6 Graphics and Machine Learning GPU 16xlarge,g6.16xlarge,256,64,1880 GB (2×940 GB NVMe SSD),25.0,3.3968
M8G 12xlarge,m8g.12xlarge,192,48,EBS only,22.5,2.1542
M8G 48xlarge,m8g.48xlarge,768,192,EBS only,50.0,8.617
M8GD Extra Large,m8gd.xlarge,16,4,237 GB NVMe SSD,12.5,0.2306
D2 Eight Extra Large,d2.8xlarge,244,36,49152 GB (24×2048 GB HDD),10.0,5.52
M7I-FLEX Quadruple Extra Large,m7i-flex.4xlarge,64,16,EBS only,12.5,0.7661
C6G 16xlarge,c6g.16xlarge,128,64,EBS only,25.0,2.176
I2 Extra Large,i2.xlarge,30,4,800 GB SSD,51.96050223214286,0.853
R7GD Eight Extra Large,r7gd.8xlarge,256,32,1900 GB NVMe SSD,15.0,2.1773
M7I-FLEX 12xlarge,m7i-flex.12xlarge,192,48,EBS only,18.75,2.2982
I4G Extra Large,i4g.xlarge,32,4,937 GB NVMe SSD,10.0,0.3089
C8G Large,c8g.large,4,2,EBS only,12.5,0.0798
C8G 24xlarge,c8g.24xlarge,192,96,EBS only,40.0,3.8285
M7G Eight Extra Large,m7g.8xlarge,128,32,EBS only,15.0,1.3056
A1 Extra Large,a1.xlarge,8,4,EBS only,10.0,0.102
M8GD Large,m8gd.large,8,2,118 GB NVMe SSD,12.5,0.1153
I4I 24xlarge,i4i.24xlarge,768,96,22500 GB (6×3750 GB NVMe SSD),56.25,8.2368
C7G Large,c7g.large,4,2,EBS only,12.5,0.0725
X2IEDN Eight Extra Large,x2iedn.8xlarge,1024,32,950 GB NVMe SSD,25.0,6.669
G4AD Eight Extra Large,g4ad.8xlarge,128,32,1200 GB NVMe SSD,15.0,1.734
INF2 Eight Extra Large,inf2.8xlarge,128,32,EBS only,25.0,1.9679
M4 General Purpose 16xlarge,m4.16xlarge,256,64,EBS only,25.0,3.2
R6G Eight Extra Large,r6g.8xlarge,256,32,EBS only,12.0,1.6128
C7G Extra Large,c7g.xlarge,8,4,EBS only,12.5,0.145
R7G Large,r7g.large,16,2,EBS only,12.5,0.1071
A1 Large,a1.large,4,2,EBS only,10.0,0.051
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,32,8,450 GB NVMe SSD,10.0,1.212
Z1D Extra Large,z1d.xlarge,32,4,150 GB NVMe SSD,10.0,0.372
I3 High I/O Large,i3.large,15,2,475 GB NVMe SSD,10.0,0.156
R8G Eight Extra Large,r8g.8xlarge,256,32,EBS only,15.0,1.8851
C8GD 48xlarge,c8gd.48xlarge,384,192,11400 GB (6×1900 GB NVMe SSD),50.0,9.4061
M8GD Eight Extra Large,m8gd.8xlarge,128,32,1900 GB NVMe SSD,15.0,1.8451
G6e Graphics and Machine Learning GPU 16xlarge,g6e.16xlarge,512,64,1900 GB (2×950 GB NVMe SSD),35.0,7.5772
I7IE 48xlarge,i7ie.48xlarge,1536,192,120000 GB (16×7500 GB NVMe SSD),100.0,24.9504
R6IN Large,r6in.large,16,2,EBS only,25.0,0.1743
M6G Eight Extra Large,m6g.8xlarge,128,32,EBS only,12.0,1.232
M6GD Large,m6gd.large,8,2,118 GB NVMe SSD,10.0,0.0904
M7GD Eight Extra Large,m7gd.8xlarge,128,32,1900 GB NVMe SSD,15.0,1.7086
R4 High-Memory Extra Large,r4.xlarge,30,4,EBS only,10.0,0.266
R8GD Double Extra Large,r8gd.2xlarge,64,8,474 GB NVMe SSD,15.0,0.5878
Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large,gr6.4xlarge,128,16,600 GB NVMe SSD,25.0,1.5392
C7I-FLEX Extra Large,c7i-flex.xlarge,8,4,EBS only,12.5,0.1696
C6GN Double Extra Large,c6gn.2xlarge,16,8,EBS only,25.0,0.3456
R6G Double Extra Large,r6g.2xlarge,64,8,EBS only,10.0,0.4032
M8GD 12xlarge,m8gd.12xlarge,192,48,2850 GB (3×950 GB NVMe SSD),22.5,2.7677
G6 Graphics and Machine Learning GPU 48xlarge,g6.48xlarge,768,192,7520 GB (8×940 GB NVMe SSD),100.0,13.3504
M8GD Medium,m8gd.medium,4,1,59 GB NVMe SSD,12.5,0.0577
X2GD Extra Large,x2gd.xlarge,64,4,237 GB NVMe SSD,10.0,0.334
INF2 48xlarge,inf2.48xlarge,768,192,EBS only,100.0,12.9813
HPC6A 48xlarge,hpc6a.48xlarge,384,96,EBS only,100.0,
R6G Metal,r6g.metal,512,64,EBS only,25.0,3.2256
M8GD 24xlarge,m8gd.24xlarge,384,96,5700 GB (3×1900 GB NVMe SSD),40.0,5.5354
R7G Eight Extra Large,r7g.8xlarge,256,32,EBS only,15.0,1.7136
HPC7A 48xlarge,hpc7a.48xlarge,768,96,EBS only,300.0,
R6GD Large,r6gd.large,16,2,118 GB NVMe SSD,10.0,0.1152
C7G Double Extra Large,c7g.2xlarge,16,8,EBS only,15.0,0.29
M8GD Double Extra Large,m8gd.2xlarge,32,8,474 GB NVMe SSD,15.0,0.4613
R8G Quadruple Extra Large,r8g.4xlarge,128,16,EBS only,15.0,0.9426
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,16,4,250 GB NVMe SSD,10.0,1.006
T3A Nano,t3a.nano,0,2,EBS only,5.0,0.0047
IS4GEN Eight Extra Large,is4gen.8xlarge,192,32,30000 GB (4×7500 GB NVMe SSD),50.0,4.6104
R7G Double Extra Large,r7g.2xlarge,64,8,EBS only,15.0,0.4284
C6G Large,c6g.large,4,2,EBS only,10.0,0.068
C6GN Extra Large,c6gn.xlarge,8,4,EBS only,25.0,0.1728
C6GN 16xlarge,c6gn.16xlarge,128,64,EBS only,100.0,2.7648
R6GD Metal,r6gd.metal,512,64,3800 GB (2×1900 GB NVMe SSD),25.0,3.6864
C7GN Quadruple Extra Large,c7gn.4xlarge,32,16,EBS only,50.0,0.9984
C7GD Eight Extra Large,c7gd.8xlarge,64,32,1900 GB NVMe SSD,15.0,1.4515
C6G Metal,c6g.metal,128,64,EBS only,25.0,2.176
X2GD 12xlarge,x2gd.12xlarge,768,48,2850 GB (2×1425 GB NVMe SSD),20.0,4.008
C6GD Medium,c6gd.medium,2,1,59 GB NVMe SSD,10.0,0.0384
M8G Metal-24xl,m8g.metal-24xl,384,96,EBS only,40.0,4.3085
TRN2 48xlarge,trn2.48xlarge,2048,192,EBS only,3200.0,
R8G Extra Large,r8g.xlarge,32,4,EBS only,12.5,0.2356
M6G Metal,m6g.metal,256,64,EBS only,25.0,2.464
X2GD Medium,x2gd.medium,16,1,59 GB NVMe SSD,10.0,0.0835
M6G 16xlarge,m6g.16xlarge,256,64,EBS only,25.0,2.464
IM4GN Double Extra Large,im4gn.2xlarge,32,8,3750 GB NVMe SSD,25.0,0.7276
C6GD Quadruple Extra Large,c6gd.4xlarge,32,16,950 GB NVMe SSD,10.0,0.6144
M8GD Metal-24xl,m8gd.metal-24xl,384,96,5700 GB (3×1900 GB NVMe SSD),40.0,5.5354
TRN1 Double Extra Large,trn1.2xlarge,32,8,474 GB NVMe SSD,12.5,1.3438
I4G Double Extra Large,i4g.2xlarge,64,8,1875 GB NVMe SSD,12.0,0.6178
INF2 24xlarge,inf2.24xlarge,384,96,EBS only,50.0,6.4906
R8G 24xlarge,r8g.24xlarge,768,96,EBS only,40.0,5.6554
R6G 12xlarge,r6g.12xlarge,384,48,EBS only,20.0,2.4192
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,1536,192,7600 GB (4×1900 GB NVMe SSD),400.0,30.1312
M7G Double Extra Large,m7g.2xlarge,32,8,EBS only,15.0,0.3264
TRN1N 32xlarge,trn1n.32xlarge,512,128,7600 GB (4×1900 GB NVMe SSD),16.0,24.78
IS4GEN Large,is4gen.large,12,2,1875 GB NVMe SSD,25.0,0.2882
R6GD Medium,r6gd.medium,8,1,59 GB NVMe SSD,10.0,0.0576
M7G 12xlarge,m7g.12xlarge,192,48,EBS only,22.5,1.9584
IS4GEN Quadruple Extra Large,is4gen.4xlarge,96,16,15000 GB (2×7500 GB NVMe SSD),25.0,2.3052
C7G 16xlarge,c7g.16xlarge,128,64,EBS only,30.0,2.32
C6G Quadruple Extra Large,c6g.4xlarge,32,16,EBS only,10.0,0.544
IS4GEN Extra Large,is4gen.xlarge,24,4,3750 GB NVMe SSD,25.0,0.5763
G4AD Quadruple Extra Large,g4ad.4xlarge,64,16,600 GB NVMe SSD,10.0,0.867
I4G Eight Extra Large,i4g.8xlarge,256,32,7500 GB (2×3750 GB NVMe SSD),18.75,2.471
C6G Double Extra Large,c6g.2xlarge,16,8,EBS only,10.0,0.272
IS4GEN Double Extra Large,is4gen.2xlarge,48,8,7500 GB NVMe SSD,25.0,1.1526
C6GD Metal,c6gd.metal,128,64,3800 GB (2×1900 GB NVMe SSD),25.0,2.4576
U-9TB1 Metal,u-9tb1.metal,9216,448,EBS only,100.0,
U-6TB1 Metal,u-6tb1.metal,6144,448,EBS only,100.0,
C7GD Medium,c7gd.medium,2,1,59 GB NVMe SSD,12.5,0.0454
P2 General Purpose GPU 16xlarge,p2.16xlarge,732,64,EBS only,20.0,14.4
C8GD 12xlarge,c8gd.12xlarge,96,48,2850 GB (3×950 GB NVMe SSD),22.5,2.3515
T4G Extra Large,t4g.xlarge,16,4,EBS only,5.0,0.1344
T2 Nano,t2.nano,0,1,EBS only,51.96050223214286,0.0058
C7G Metal,c7g.metal,128,64,EBS only,30.0,2.32
M7GD Quadruple Extra Large,m7gd.4xlarge,64,16,950 GB NVMe SSD,15.0,0.8543
R8G 48xlarge,r8g.48xlarge,1536,192,EBS only,50.0,11.3107
I4G 16xlarge,i4g.16xlarge,512,64,15000 GB (4×3750 GB NVMe SSD),37.5,4.9421
C8G Metal-24xl,c8g.metal-24xl,192,96,EBS only,40.0,3.8285
C8GD Quadruple Extra Large,c8gd.4xlarge,32,16,950 GB NVMe SSD,15.0,0.7838
INF2 Extra Large,inf2.xlarge,16,4,EBS only,15.0,0.7582
I2 Large,i2.large,15,2,EBS only,51.96050223214286,
IM4GN Eight Extra Large,im4gn.8xlarge,128,32,15000 GB (2×7500 GB NVMe SSD),50.0,2.9103
X2GD Quadruple Extra Large,x2gd.4xlarge,256,16,950 GB NVMe SSD,10.0,1.336
A1 Metal,a1.metal,32,16,EBS only,10.0,0.408
IS4GEN Medium,is4gen.medium,6,1,937 GB NVMe SSD,25.0,0.1441
MAC1 Metal,mac1.metal,32,12,EBS only,25.0,
MAC2-M2 Metal,mac2-m2.metal,24,8,EBS only,10.0,
MAC2 Metal,mac2.metal,16,8,EBS only,10.0,
MAC2-M2PRO Metal,mac2-m2pro.metal,32,12,EBS only,10.0,
D3EN 12xlarge,d3en.12xlarge,192,48,335520 GB (24×13980 GB NVMe HDD),75.0,6.3086
D3EN Eight Extra Large,d3en.8xlarge,128,32,223680 GB (16×13980 GB NVMe HDD),50.0,4.2058
X2IEZN 12xlarge,x2iezn.12xlarge,1536,48,EBS only,100.0,10.008
U7I-8TB 112xlarge,u7i-8tb.112xlarge,8192,448,EBS only,100.0,83.72
U7IN-24TB 224xlarge,u7in-24tb.224xlarge,24576,896,EBS only,200.0,270.7313
DL1 24xlarge,dl1.24xlarge,768,96,4000 GB (4×1000 GB NVMe SSD),4.0,13.109
X8G 48xlarge,x8g.48xlarge,3072,192,EBS only,50.0,18.7584
U7I-6TB 112xlarge,u7i-6tb.112xlarge,6144,448,EBS only,100.0,62.79
I8G Double Extra Large,i8g.2xlarge,64,8,1875 GB NVMe SSD,12.0,0.6864
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30,16,320 GB (2×160 GB SSD),51.96050223214286,0.84
X8G Extra Large,x8g.xlarge,64,4,EBS only,12.5,0.3908
C3 High-CPU Large,c3.large,3,2,32 GB (2×16 GB SSD),51.96050223214286,0.105
X2IEZN 6xlarge,x2iezn.6xlarge,768,24,EBS only,50.0,5.004
X8G Large,x8g.large,32,2,EBS only,12.5,0.1954
U7IN-32TB 224xlarge,u7in-32tb.224xlarge,32768,896,EBS only,200.0,360.9869
X2IEZN Double Extra Large,x2iezn.2xlarge,256,8,EBS only,25.0,1.668
M3 General Purpose Double Extra Large,m3.2xlarge,30,8,160 GB (2×80 GB SSD),51.96050223214286,0.532
C3 High-CPU Double Extra Large,c3.2xlarge,15,8,160 GB (2×80 GB SSD),51.96050223214286,0.42
X2IEZN Quadruple Extra Large,x2iezn.4xlarge,512,16,EBS only,25.0,3.336
D3EN Extra Large,d3en.xlarge,16,4,27960 GB (2×13980 GB NVMe HDD),25.0,0.526
F2 6xlarge,f2.6xlarge,256,24,940 GB NVMe SSD,12.5,1.98
M3 General Purpose Large,m3.large,7,2,32 GB SSD,51.96050223214286,0.133
F2 12xlarge,f2.12xlarge,512,48,1880 GB (2×940 GB NVMe SSD),25.0,3.96
D3EN Double Extra Large,d3en.2xlarge,32,8,55920 GB (4×13980 GB NVMe HDD),25.0,1.051
VT1 24xlarge,vt1.24xlarge,192,96,EBS only,25.0,5.2
