Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,MIPS,CostPerMIPS,Family
R5B 12xlarge,r5b.12xlarge,384,48,EBS only,12.0,3.576,120000.0,2.98e-05,r5b
I3 High I/O Quadruple Extra Large,i3.4xlarge,122,16,3800 GB (2×1900 GB NVMe SSD),10.0,1.248,40000.0,3.12e-05,i3
I3 High I/O Eight Extra Large,i3.8xlarge,244,32,7600 GB (4×1900 GB NVMe SSD),10.0,2.496,80000.0,3.12e-05,i3
M5ZN Extra Large,m5zn.xlarge,16,4,EBS only,25.0,0.3303,10000.0,3.303e-05,m5zn
M5ZN 6xlarge,m5zn.6xlarge,96,24,EBS only,50.0,1.982,60000.0,3.3033333333333334e-05,m5zn
M5ZN 3xlarge,m5zn.3xlarge,48,12,EBS only,25.0,0.991,30000.0,3.3033333333333334e-05,m5zn
R5DN Metal,r5dn.metal,768,96,3600 GB (4×900 GB NVMe SSD),100.0,8.016,240000.0,3.34e-05,r5dn
R5DN Quadruple Extra Large,r5dn.4xlarge,128,16,600 GB (2×300 GB NVMe SSD),25.0,1.336,40000.0,3.34e-05,r5dn
R5DN Double Extra Large,r5dn.2xlarge,64,8,300 GB NVMe SSD,25.0,0.668,20000.0,3.34e-05,r5dn
I3EN Large,i3en.large,16,2,1250 GB NVMe SSD,25.0,0.226,5000.0,4.52e-05,i3en
I3EN 24xlarge,i3en.24xlarge,768,96,60000 GB (8×7500 GB NVMe SSD),100.0,10.848,240000.0,4.52e-05,i3en
I3EN 3xlarge,i3en.3xlarge,96,12,7500 GB NVMe SSD,25.0,1.356,30000.0,4.52e-05,i3en
D2 Eight Extra Large,d2.8xlarge,244,36,49152 GB (24×2048 GB HDD),10.0,5.52,90000.0,6.133333333333332e-05,d2
D2 Quadruple Extra Large,d2.4xlarge,122,16,24576 GB (12×2048 GB HDD),51.96050223214286,2.76,40000.0,6.9e-05,d2
D2 Extra Large,d2.xlarge,30,4,6144 GB (3×2048 GB HDD),51.96050223214286,0.69,10000.0,6.9e-05,d2
